大項目,中項目,小項目,名前,いい面,悪い面,先天後天,遺伝するか,時間で変わるか,実装の根拠
導出値,生産,consume,consume（食べる量）,低いほど良い。0.45＋0.30×代謝＋0.25×暴食。未成年は0.45倍。,高いと同じ産出でも蔵が減る。国全体の消費（world.consumption）になり、備蓄カードの目標にも効く。,導出,一部,年齢で変わる,derive.js:221-226 / constants.js:72-77 / world.js:186
導出値,人事,willingness,willingness（意欲係数）,本人がその席を望んでいるか。局長は 0.3＋0.55×野心−0.35×保身−0.15×序列意識＋0.15×誇り。戦・狩・演習は 0.35＋0.4×攻撃素質＋0.25×胆力−0.3×保身。畑は 0.4＋0.4×勤勉＋0.2×共同作業適性−0.2×野心−0.07×保身。高いと配役の適性判定で選ばれる。,なし,導出,一部,一生変化なし,derive.js:232-244 / world.js:597-601 / world.js:1034
導出値,人事,motivation,motivation（意欲の倍率）,"clamp(0.60＋0.73×willingness, 0.55, 1.25)。産出（gross）に直接掛かる。平均的な意欲でちょうど1.0になるよう中心を取ってある。",望まない役に置くと0.55倍まで落ちる。保身の高い個体を働かせると平時に見えないコストが出る。,導出,一部,一生変化なし,derive.js:254-259 / derive.js:203 / derive.js:208 / derive.js:212
導出値,人事,acceptance,acceptance（受容係数）,周囲が認めるか。0.25＋0.15×実績数＋(称号があれば0.2)＋世襲ボーナス×(1−透過率)＋透過率×0.35＋(創世個体なら0.1)。高いと無名の抜擢でも軋轢が出ない。,0.5未満だと、序列意識に比例して全国民がその局長への個人怨恨を持つ（0.06×序列意識）。,導出,一部,状況で変わる,derive.js:262-271 / world.js:1035 / world.js:1053-1058
導出値,表示用,ui/color.js,training（腕の平均）,5つの練度の単純平均。名簿の「熟練」表示と個体の明度・彩度に使う。,なし。sim の計算には一切使われない（UIの表示専用）。,導出,しない,熟練で上がる,ui/color.js:72-78 / ui/panels/roles.js:91 / ui/adapter.js:765
個体の状態,基本,,id,世界で一意の連番。参照と系図の追跡に使う。,なし,先天,しない,一生変化なし,model.js:45 / world.js:104
個体の状態,基本,,name,表示名。NameGiver が世代ごとに配る。,同名の個体が出ることがある（出自表示で区別する）。,先天,しない,一生変化なし,model.js:46 / world.js:80
個体の状態,基本,,alive,true なら生存。死ぬと people から dead に移る。,false になると全処理から外れる。,導出,しない,状況で変わる,model.js:47 / world.js:850 / world.js:857
個体の状態,基本,,born,生まれた世代。村の定員切り詰め（その世代に生まれた子だけを対象にする）で読む。,なし,先天,しない,一生変化なし,model.js:48 / flow/village.js:79
個体の状態,基本,,age,2歳で成人して役に就け繁殖できる。若すぎると年齢係数が0.35〜0.60に落ちる。,ピーク（3＋4×寿命）を超えると年齢係数が1世代0.13ずつ落ち、老衰の確率が0.22＋(超過)×0.32 まで上がる。13歳を超えた女は繁殖しない。,導出,しない,年齢で変わる,model.js:49 / world.js:412 / derive.js:48-54 / world.js:422 / constants.js:12
個体の状態,基本,,sex,0＝男 / 1＝女。繁殖の組み合わせにだけ使う。人口24未満のときは少数側に寄る補正がかかる。,なし,先天,しない,一生変化なし,model.js:50 / world.js:615-616 / world.js:664-668
個体の状態,体,,fatigue,低いほど良い。無役・子どもは溜まらず、毎tick 12%ずつ抜ける。,1に近いと体調係数が0.70倍まで落ち（産出も戦闘も国民力も同時に落ちる）、母親の出産確率も最大0.7倍になる。実戦に出ると＋0.35される。,導出,しない,状況で変わる,model.js:61 / world.js:194 / derive.js:62 / world.js:638 / battle.js:785
個体の状態,体,,wounded,false なら万全。,true だと体調係数が0.7倍、老衰判定に＋0.06、派遣の候補から外れる。戦闘の致命打のうち40%が負傷になる。,導出,しない,状況で変わる,model.js:62 / derive.js:62 / world.js:423 / battle.js:133 / constants.js:114
個体の状態,体,,vitality,1.0なら遺伝子どおりの力が出る。外来血が入ると戻る。,低いと体調係数・老衰の寿命・出生確率のすべてが同時に落ちる。下限0.35。,導出,する,生まれた時に決まる（以後は不変）,world.js:119 / genetics.js:152 / derive.js:62 / world.js:420 / world.js:639
個体の状態,体,,load,なし（低いほど良い）,遺伝的荷重。劣性ホモになった心系座位が運ぶ欠陥の合計。vitality をここから出す。,導出,する,生まれた時に決まる（以後は不変）,world.js:118 / genetics.js:130-139
個体の状態,体,,carriedLoad,なし,保有荷重。接合状態に関わらず持っている欠陥の総量。ゴーストを作るとき「軽い順に n 体残す」淘汰にだけ使う（自国民では未使用）。,導出,する,生まれた時に決まる（以後は不変）,battle.js:77 / battle.js:91 / genetics.js:142-149
個体の状態,体,,homoz,なし（低いほど良い）,ホモ接合率。近親交配の指標。国の集計（stats.homoz）に平均が出る。個体の能力には直接効かない。,導出,する,生まれた時に決まる（以後は不変）,world.js:117 / genetics.js:168-178 / world.js:1136
個体の状態,体,,lifeJitter,0.78〜1.22。寿命の個体差。大コホートが揃って老衰して人口が階段状に落ちるのを防ぐ。,低いと寿命が短くなる。乱数ではなく id のハッシュで決まるので再現性はある。,導出,しない,生まれた時に決まる（以後は不変）,world.js:127 / world.js:420 / world.js:138-143
個体の状態,体,,power,citizenPower のキャッシュ。名簿の並べ替え・交配相手の重み（0.3＋0.7×power）・ゴーストの国力に使う。,なし,導出,一部,状況で変わる,world.js:132 / world.js:195 / world.js:677 / battle.js:88
個体の状態,役,,role,畑＝産出が最大で死なない。狩り＝産出しつつ戦技が伸びるが事故で死ぬ。模擬戦＝安全に伸びるが産出ゼロ。実戦＝恐怖耐性が最も伸びるが死ぬ。,無役（idle）は食べるだけで練度が1つも伸びない。子ども（child）は2歳まで。,導出,しない,状況で変わる,model.js:18-25 / model.js:54 / world.js:564-608 / constants.js:56-63
個体の状態,役,,district,辺境（frontier）は練度の伸びが1.22倍（中心は0.92）、狩りの産出1.20倍、恐怖耐性が無条件で伸び、幼少期に45%で戦の素質が開く。中心（center）は畑の産出1.10倍。,辺境は老衰の基準寿命に0.85倍の負債が付く。中心は畑の産出0.88倍・練度の伸びが遅い。,導出,しない,状況で変わる,model.js:40 / world.js:278 / world.js:286-289 / derive.js:202 / derive.js:204 / world.js:418 / world.js:543-544
個体の状態,役,,bureau,局長なら military / agri / civil。カードの実効値を自分の人格で歪められ、具申を出せる。「嫉妬」の未充足が0.4下がる。交配相手として1.7倍選ばれやすくなる。,局長を後任に外されると個人怨恨と体制怨恨を持つ。局はP2で解禁されるので、村のあいだは常に null。,導出,しない,状況で変わる,model.js:56 / world.js:1032 / cards.js:57-67 / derive.js:119 / world.js:680 / world.js:1026
個体の状態,役,,roleLocked,オーナーが名指しで置いた／「引抜」が通った個体は、自動配役に動かされなくなる。,一度立つと解除されない。,導出,しない,状況で変わる,world.js:995 / world.js:576 / petitions.js:249
個体の状態,役,,districtLocked,移住政策から除外されるはずのフラグ。,いまは何にも効かない（sim のどこからも代入されない＝常に undefined）。読んでいるのは applyDistrictPolicy の1か所だけ。,導出,しない,状況で変わる,world.js:316（読むだけ。代入箇所なし）
個体の状態,役,,expressed,war / prod の2つ。開いた局面の素質は実効値が5倍になる（0.20→1.0）。,幼少期（0〜1歳）にその局面に置かれないと一生開かない。未発現の素質は国民力に0.2倍でしか入らないので、検索でも捕虜選抜でも見抜けない。,導出,しない,幼少期（0〜1歳）に一度だけ決まる,model.js:52 / derive.js:27-31 / world.js:537-552 / world.js:1108-1114
個体の状態,役,,mated,その世代に子を作ったか。作ると「色欲」の未充足が0.7→0.2に落ちる。,世代の終わりに false へ戻る。,導出,しない,状況で変わる,world.js:116 / world.js:652 / world.js:444 / derive.js:121
個体の状態,心,,unmet,低いほど良い。unmetTotal のキャッシュ。,高いと民心の目標値が下がる（全国民の平均×0.6）。,導出,しない,状況で変わる,model.js:66 / world.js:378 / world.js:384
個体の状態,心,,regimeGrudge,低いほど良い。世代ごとに5.5%ずつ風化する（半減期およそ12世代）。,体制への恨み。横領率を上げ、一揆の圧力になり、平均が民心を下げる（×0.8）。粛清・戦死・降伏・配給の傾斜・配給カット・世襲固定・国境の誅殺で積む。親から62%が家系に継承される。,導出,一部（家系に62%継承）,状況で変わる,world.js:113 / world.js:443 / constants.js:102 / constants.js:107 / derive.js:216 / world.js:384 / world.js:920-933 / world.js:792
個体の状態,心,,grudges,相手idごとの個人怨恨。本人か相手の死で消える。,0.4を超えると、その相手とは子を作らなくなる（重み0.15倍）。局長を外された前任者・冤罪の被害者・無名の抜擢を見た者が持つ。,導出,しない（子には継承しない）,状況で変わる,model.js:64 / world.js:439-441 / world.js:688 / world.js:1026 / world.js:1057 / petitions.js:212-215
個体の状態,心,,motive,7つの欲ごとの intrinsic（内発）/ extrinsic（外発）。内発なら報酬ゼロでも行為だけで満たされる。,外発だと報酬が止まった瞬間に不満になる。幼少期に食料が余っている国では外発に固定される。,後天（幼少期に確定）,しない,幼少期に一度だけ決まる（以後は不変）,world.js:115 / world.js:553-561 / derive.js:126-130
個体の状態,心,,cowardice,0なら戦功が普通に付く。,戦場で逃げた回数。1回につき交配相手として選ばれる重みが22%落ちる（下限0.45倍）。ライバル国 martial の粛清対象にもなる。,導出,しない,状況で変わる,battle.js:780 / world.js:682 / rival.js:41
個体の状態,心,,spurned,具申を却下された回数。,いまは何にも効かない（代入されるだけで、sim のどこからも読まれない）。,導出,しない,状況で変わる,petitions.js:209（代入のみ。参照箇所なし）
個体の状態,心,,knowsOwner,局長になると true。「入信儀式」の印。,いまは何にも効かない（代入されるだけで、sim のどこからも読まれない）。,導出,しない,状況で変わる,world.js:1033（代入のみ。参照箇所なし）
個体の状態,心,,will,任命時の willingness(bureau) のキャッシュ。,いまは何にも効かない（代入されるだけで、sim のどこからも読まれない）。,導出,しない,状況で変わる,world.js:1034（代入のみ。参照箇所なし）
個体の状態,心,,accept,任命時の acceptance のキャッシュ。0.5以上なら軋轢が出ない。,0.5未満だと全国民がその局長への個人怨恨を持つ（0.06×序列意識）。,導出,しない,状況で変わる,world.js:1035 / world.js:1053-1058
個体の状態,社会,,deeds,従軍・戦功・政争・具申通過・逃走の記録。実績が増えると「傲慢」の未充足が0.12ずつ下がり、「嫉妬」の未充足も0.5下がる。受容係数（0.15×件数）と交配の重みも上がる。,逃走も deeds に積まれる（従軍・戦功は付かない）。,導出,しない,状況で変わる,model.js:67 / derive.js:117 / derive.js:119 / derive.js:263-265 / world.js:677 / battle.js:779-783
個体の状態,社会,,titles,叙勲・断罪・抜擢。1つでもあると「傲慢」の未充足が0.15まで落ちる。受容係数＋0.2。交配の重みが1件につき22%上がる。,「讒言」が通ると叙勲が剥がされ「断罪」が付く。,導出,しない,状況で変わる,model.js:68 / derive.js:117 / derive.js:265 / world.js:681 / petitions.js:225-226
個体の状態,社会,,house,家系。父系で継ぐ。同じ家は血縁度0.35として扱われる。,同じ家どうしは村内婚で結ばれやすく、劣性ホモが溜まる（inbreedGuard が抑える）。,先天,する（父系）,一生変化なし,world.js:128 / world.js:782 / world.js:769 / world.js:699-704
個体の状態,社会,,houseRank,その家が出した局長の数。任命ログに焼かれる。,sim の判定には使われない（bureauLog の記録と test の測定だけ）。,導出,一部,状況で変わる,world.js:130 / world.js:1038 / world.js:1041
個体の状態,社会,,noble,局長を出した家の子は名家になる。透過率が低い国では、局長の候補プールが名家だけに絞られる（ライバル国の pickChief）。,世襲を強めると実力のある無名が塞がれ、体制怨恨の入力になる。,導出,する（親のどちらかが名家か局長なら継ぐ）,状況で変わる,world.js:129 / world.js:783 / world.js:1046 / rival.js:260-262
個体の状態,社会,,founder,創世の2体（アダム・イザナミ）。人口6未満のあいだは餓死・事故・老衰で死なない。両局面が最初から発現している。,ライバル国の粛清対象からは外れる。,先天,しない,一生変化なし,world.js:94 / world.js:327-329 / world.js:92 / rival.js:215
個体の状態,社会,,myth,「神を直接見た」印。創世の2体と、その子孫に伝わる。,いまは何にも効かない（伝播するだけで、sim のどこからも読まれない）。,先天,する（親のどちらかが持てば継ぐ）,一生変化なし,world.js:95 / world.js:793（参照箇所なし）
個体の状態,血統,,genes,33座位の素質（0..1）。生涯不変。,未発現の6座位は実効値が0.20倍にしかならない。,先天,する,一生変化なし,model.js:51 / genetics.js:92-108
個体の状態,血統,,skills,5軸の練度（0..1）。使った仕事だけ伸びる。,子には一切継承されない。捕虜が持ち込む練度だけは本人のものとして入国する。,後天,しない,熟練で上がる,model.js:53 / model.js:79-83 / world.js:107 / battle.js:662
個体の状態,血統,,hap,2倍体のハプロタイプ（8本×2）。値・優劣・荷重の3つを座位ごとに持つ。表現型（genes）はここから導出する。,劣性は極端な値と欠陥（荷重）を隠して運ぶ。数世代後に劣性ホモで表に出る。,先天,する,一生変化なし,world.js:112 / genetics.js:92-108 / genetics.js:294-330 / world.js:774
個体の状態,血統,,lineage,血統の混合比（合計1）。個体の色相はこれだけで決まる。国の集計 admixture / foreign / pure の入力。,1%未満の系統は畳まれる。ライバル国 purist は外来成分の多い個体を粛清する。,先天,する（父母の平均）,一生変化なし,model.js:60 / world.js:827-838 / world.js:1138-1144 / ui/color.js:99 / rival.js:40
個体の状態,血統,,origin,血統の最大成分。融和／隔離カード（originFactor）の判定単位。,隔離政策では出自の違う相手との結ばれやすさが最大0.05倍まで落ちる。,先天,する,一生変化なし,world.js:120 / world.js:734-738 / world.js:821-825
個体の状態,血統,,fatherId,父のid。受容係数の世襲ボーナス（局長の子なら＋0.3×(1−透過率)）、世襲の配役、血縁度の計算に使う。,戦死・粛清された親の遺族として体制怨恨が積む。,先天,—,一生変化なし,model.js:57 / derive.js:267-269 / world.js:581-586 / world.js:750-754 / battle.js:761
個体の状態,血統,,motherId,母のid。血縁度の計算と遺族判定に使う。,戦死・粛清された親の遺族として体制怨恨が積む。,先天,—,一生変化なし,model.js:58 / world.js:750-754 / world.js:888
個体の状態,血統,,surfaced,その代で劣性ホモになった心系座位の一覧。親には見えていなかった形質が出たしるし。,sim の判定には使われない（記録と年代記の文面だけ）。,導出,する,生まれた時に決まる（以後は不変）,world.js:806-814 / genetics.js:158-166
個体の状態,外来,,foreign,ゴースト（相手国）の個体につく印。,自国民には付かない。UIが「よそから来た人」タグを出すために読む。,先天,しない,一生変化なし,battle.js:71 / ui/panels/inspector.js:64
個体の状態,外来,,immigrant,帰化した個体につく印。任命ログに焼かれ、出自分布の測定に使う。,sim の判定そのものには使われない。,導出,しない,帰化した時に立つ,battle.js:664 / world.js:1043
個体の状態,外来,,fromNation,どの国から来たか。年代記の文面と血統名に使う。,なし,先天,しない,一生変化なし,battle.js:578 / battle.js:665 / battle.js:667
個体の状態,外来,,homeName,相手国の名前。,なし,先天,しない,一生変化なし,battle.js:73 / battle.js:578
個体の状態,外来,,homeRankPct,相手国内での順位（0が最上位）。外国人について外から見える唯一の手掛かり。,実際の数値は出ない。忠誠も未発現の素質もこの順位には入らないので、弱い国の上位1%がこちらでは平均以下ということが起きる。,導出,しない,状況で変わる,battle.js:107-121 / battle.js:579
個体の状態,外来,,grudgeBrought,捕虜が持ち込む体制怨恨。元の怨恨＋0.35。,帰化するとそのまま regimeGrudge になる。外来血を入れると恨みも一緒に入る。,導出,しない,捕虜になった時に決まる,battle.js:580 / battle.js:663
個体の状態,外来,,captiveOf,どの戦で捕虜になったか（battle id）。,sim の判定には使われない（代入のみ）。,導出,しない,捕虜になった時に決まる,battle.js:577（参照箇所なし）
個体の状態,外来,,sourceId,捕虜の元の国での id。ロスター戦で「本当に相手国から消えたか」を突き合わせるために使う。,なし,導出,しない,捕虜になった時に決まる,battle.js:582 / roster.js:161 / flow/war.js:489
個体の状態,記録,,ledger,怨恨・民心・産出率・血統・帰属の5つだけ出所（事件id）を持つ台帳。一揆の「真の原因」をここから遡る。,件数の上限を超えると絶対値の小さい行から間引かれる。,導出,一部（親の台帳を半分の重みで継ぐ）,状況で変わる,world.js:114 / chronicle.js:49-72 / world.js:971-983 / world.js:801
個体の状態,記録,,deathGen,死んだ世代。,なし,導出,しない,死んだ時に決まる,model.js:69 / world.js:851
個体の状態,記録,,deathCause,餓死・事故・老衰・傷病・戦死・処刑・賠償として引き渡し。死因の内訳（world.deathStats）に積まれる。,なし,導出,しない,死んだ時に決まる,model.js:70 / world.js:852 / world.js:859-860
個体の状態,記録,,deathDetail,戦死の内訳。war:stat（ステータス由来）/ war:luck（流れ矢）。設計の「ステ由来90% / 運10%」の検証用。,なし,導出,しない,死んだ時に決まる,world.js:854 / battle.js:385 / battle.js:426 / battle.js:457 / constants.js:112
個体の状態,記録,,deathByLuck,true なら流れ矢（ステータスと無関係な完全ランダム抽選）で死んだ。,なし,導出,しない,死んだ時に決まる,world.js:855 / battle.js:445-461
個体の状態,記録,,leftVillage,村の定員（10体）を超えて生まれた子につく印。盤面が「死んだ」と描かないための印。,実装上は kill() されている（people から消える）。初戦を終えると切り詰め自体が止まる。,導出,しない,状況で変わる,flow/village.js:93 / flow/village.js:70-100
国の状態,時間,,phase,1＝村（10体で頭打ち。一体ずつ手で配役できる）。2＝部族（局長を通す。100体まで）。,部族になると「自分で配役する」ができなくなる。移行は 10体到達→初戦→戦後処理 の順にしか起きない。,導出,—,状況で変わる,model.js:6 / model.js:9 / world.js:457-474 / world.js:990
国の状態,時間,,gen,世代。全員が1つ年を取ると進む。1世代＝12tick。,進むほど老衰・怨恨の風化・フェーズ判定が動く。,導出,—,状況で変わる,model.js:89 / world.js:403 / constants.js:4 / constants.js:15
国の状態,時間,,tick,刻み。1tickごとに産出・消費・練度・疲労・餓死・狩りの事故が回る。,なし,導出,—,状況で変わる,model.js:90 / world.js:164 / constants.js:4
国の状態,資源,,food,蔵。多いと飢饉を耐えられ、出生率（foodFactor）が上がり、練度の伸び（貧しいほど速い poverty 項）は落ちる。,0以下になると不足の深さに比例して餓死が始まる。上限は 30＋人口×5。一揆が起きると 15%＋反乱者比率ぶん焼ける。,導出,—,状況で変わる,model.js:94 / world.js:213 / world.js:232-250 / constants.js:78-80 / world.js:965
国の状態,資源,,yieldRate,直近tickの純産出（gross−hidden）。消費を上回っていれば蔵が増える。,消費の0.85倍を割り、かつ蔵が3未満になると collapsing（唯一の滅び方）が立つ。,導出,—,状況で変わる,world.js:199 / world.js:531
国の状態,資源,,consumption,低いほど良い。全員の consume の合計（備蓄カードの配給カット後）。,人口と代謝と暴食で膨らむ。子どもは0.45倍しか食べないが産出はゼロ。,導出,—,状況で変わる,world.js:212 / derive.js:221-226 / constants.js:77
国の状態,資源,,land,産出の上限を決める唯一の資源。畑に人を置くと開墾で増える（0.30×農夫数×(0.5＋平均勤勉)）。密度ストレスの基準にもなる。,毎世代2%痩せる。上限45。働き手が土地の0.7倍を超えると1人あたりの産出が 1/(1＋2.5×超過) に落ちる。,導出,—,状況で変わる,world.js:59 / world.js:358-365 / world.js:177-179 / constants.js:85-91
国の状態,資源,,landFactor,1.0なら規模の逓減なし。働き手が土地の0.7倍以下ならこの値。,働き手が土地を超えると下がり、畑と狩りの産出に直接掛かる。人口の天井を最終的に決めているのはこれ。,導出,—,状況で変わる,world.js:178-179 / derive.js:208 / derive.js:212
国の状態,資源,,density,0なら余裕がある。,密度ストレス（人口 /(土地×2.6＋技術×4) −1、上限4）。民心の目標値を下げ（×0.10）、老衰の確率に＋0.05×密度、繁殖に 1/(1＋密度²) で掛かる。,導出,—,状況で変わる,world.js:171 / world.js:343-348 / world.js:384 / world.js:424 / world.js:629
国の状態,資源,,tech,技術ポイント。密度の基準（＋技術×4）と国力（＋技術×3）に入る。,いまは何にも効かない（初期値0のまま、sim のどこからも加算されない）。,導出,—,一生変化なし,model.js:98（初期化のみ）/ world.js:346 / world.js:1160（加算箇所なし）
国の状態,資源,,workers,畑＋狩りの人数。,いまは何にも効かない（world.workers として代入されるだけで、どこからも読まれない。土地係数の計算はローカル変数で完結している）。,導出,—,状況で変わる,world.js:180（代入のみ。参照箇所なし）
国の状態,資源,,rationCut,0なら配給を絞っていない。備蓄カードの目標を割ると最大40%まで食い延ばせる。,絞っているぶん、全国民に体制怨恨が積む（0.06×rationCut×(0.4＋感受性)）。,導出,—,状況で変わる,world.js:204-211 / world.js:512-516
国の状態,資源,,rationTilt,0なら平等。傾けると取り分の多い者ほどよく働く（誘因が最大1.35倍）。,傾けると下位層に体制怨恨が積み（0.10×tilt×不足×(0.5＋序列意識)）、飢餓では力のない者から先に死ぬ。,導出,—,状況で変わる,world.js:500-510 / derive.js:192-195 / world.js:243
国の状態,民心,,morale,高いと子が生まれやすい（0.45＋0.55×morale）。目標値は 0.85−平均不満×0.6−平均怨恨×0.8−密度×0.10 で、毎回25%ずつ近づく。,下限0.02。一揆で−0.25、敗戦で−0.15（勝つと＋0.08）。低いと一揆の圧力が上がる。,導出,—,状況で変わる,model.js:101 / world.js:373-387 / world.js:638 / world.js:963 / battle.js:733 / constants.js:109
国の状態,民心,,regimeGrudge,低いほど良い。国民の体制怨恨の平均。,民心の目標値を最も強く下げる（×0.8）。一揆の圧力の本体（平均怨恨×(1−民心)×(1＋扇動者数×0.35)×抑圧）。,導出,—,状況で変わる,model.js:100 / world.js:386 / world.js:384 / world.js:920-932
国の状態,民心,,fear,粛清の直後は一揆が起きなくなる（抑圧 1/(1＋5.0×fear)）。,毎世代42%ずつ抜ける。恐怖が抜けた頃に、見ていない世代が怨恨だけ相続して蜂起する（＝「3世代後に返る」の実体）。,導出,—,状況で変わる,world.js:929-930
国の状態,民心,,rebellions,一揆の累計回数。,起きるたびに民心−0.25、蔵が 15%＋反乱者比率ぶん焼ける。不応期は2世代。,導出,—,状況で変わる,world.js:77 / world.js:945 / world.js:963-967 / constants.js:108
国の状態,民心,,lastRebelGen,直近の一揆の世代。不応期（2世代）の判定に使う。,なし,導出,—,状況で変わる,world.js:946 / world.js:917
国の状態,統治,,transparency,高いと家柄を無視して適性と実力で配役・登用できる（測定に投資した国の利得）。受容係数にも＋0.35×透過率で入る。,0.5未満だと、実力があるのに登用されない上位25%が毎世代 体制怨恨を積む。「世襲固定」が通ると−0.15、「抜擢」が通ると＋0.10。,導出,—,状況で変わる,world.js:49 / world.js:482 / world.js:574 / world.js:486-496 / derive.js:266-270 / petitions.js:274 / petitions.js:288
国の状態,統治,,bureaus,軍務局／農業局／民生局の局長id。局長がいるとカードが人格を通って歪み、具申が来る。,空席ならオーナーの数字がそのまま通る（報告も願いも来ない）。局長が死ぬと自動で空席になる。,導出,—,状況で変わる,model.js:102 / world.js:1014-1060 / cards.js:56-58 / world.js:861-862
国の状態,統治,,budget,3局への配分（合計1）。「予算要求」が通ると10%寄る。,いまは何にも効かない（配分の数字が産出・戦闘・民心のどの式にも入っていない）。,導出,—,状況で変わる,model.js:103 / petitions.js:236-239 / rival.js:162（参照箇所なし）
国の状態,統治,,cards,12枚の方針カード（オン/オフ＋数値）。オンのカードだけが効く。,局長がいるとその人格（頑迷・柔軟・野心・保身）で実効値が歪む。オフだと cardOr の既定値で回る。,導出,—,状況で変わる,model.js:104 / cards.js:8-23 / cards.js:51-74
国の状態,統治,,mating.foreignBias,mix_policy カード。＋1（融和）で出自の違う相手と1＋1.6倍結ばれやすくなる＝雑種強勢を取れる。,−1（隔離）だと最大0.05倍まで落ち、外来血は入っても混ざらず「まだら」のまま何代も残る。,導出,—,状況で変わる,world.js:70 / world.js:477-478 / world.js:734-738
国の状態,統治,,mating.inbreedGuard,1に近いと、いとこ・同じ家を同じ強さで避ける（劣性ホモの蓄積を抑える）。0.5で中立。,0だと近い血ほど好み、村内婚で劣性ホモが溜まる。村（P1）では相手が数人しかいないので効かない（P2から）。,導出,—,状況で変わる,world.js:70 / world.js:699-704 / constants.js:97
国の状態,統治,,mating.prefer,オーナーが引き上げた形質を血に濃くする係数。繁殖確率・交配相手の重み・老衰の確率すべてに掛かる。,プレイヤーの世界では常に null（ライバル国のプロファイルだけが設定する）。,導出,—,状況で変わる,world.js:70 / world.js:721-727 / world.js:640 / world.js:427 / rival.js:159
国の状態,統治,,fertBias,出生率の倍率。ライバル国 fecund は1.45倍。,プレイヤーの世界では1のまま（flow/village.js が村の段階で調整する）。,導出,—,状況で変わる,world.js:71 / world.js:629 / rival.js:160 / flow/village.js:56-60
国の状態,統治,,houses,家系の台帳（局長輩出数・称号数・人数）。名家の判定に使う。,父系で継ぐので、局長を出し続ける家に地位が集中する。,導出,—,状況で変わる,world.js:61 / world.js:145-156 / world.js:1045
国の状態,統治,,purges,粛清の記録（世代・id・名前・家・事件id・理由）。,粛清は遺族に＋0.45、目撃者に＋0.05×(0.4＋感受性)×(1−0.5×従順) の体制怨恨を積む。,導出,—,状況で変わる,world.js:902-903 / world.js:886-899
国の状態,統治,,killedAtBorder,国境で誅殺した人数。,3人を超えると、従軍経験者に露呈して体制怨恨が積む（感受性0.6超・知性0.6超・怨恨0.4超の個体がいると事件が公開される）。,導出,—,状況で変わる,battle.js:631 / battle.js:637-646
国の状態,戦争,,lastWarGen,直近の戦の世代。,ここから6世代経つと全国民の「憤怒」の未充足度が最大になり、不満が積む。,導出,—,状況で変わる,world.js:50 / battle.js:211 / derive.js:113 / derive.js:120
国の状態,戦争,,reachedThreshold,一度でも10体に達したか。初戦の損耗で人口が割り込んでも戻らない。,なし,導出,—,状況で変わる,world.js:72 / world.js:457-458
国の状態,戦争,,firstWarDone,初戦を終えたか。フェーズ2に上がる前提条件。,これが立つまで、10体に達しても部族フェーズへ行けない（足踏みする）。,導出,—,状況で変わる,world.js:73 / world.js:458-474 / battle.js:737
国の状態,戦争,,pendingFirstWar,10体に達したがまだ戦っていない＝UIが初戦を出す合図。,立っているあいだフェーズが上がらない。,導出,—,状況で変わる,world.js:74 / world.js:460-463 / ui/adapter.js:143
国の状態,戦争,,warPending,「開戦具申」が通ったときに立つ旗。,いまは何にも効かない（代入されるだけで、sim のどこからも読まれない）。,導出,—,状況で変わる,petitions.js:264（代入のみ。参照箇所なし）
国の状態,戦争,,border,国境で待機している捕虜。まだ入国していない。,受け入れ／誅殺／送還のどれかを選ぶまで残る。誅殺は3人を超えると露呈する。,導出,—,状況で変わる,world.js:51 / battle.js:583 / battle.js:621-677
国の状態,戦争,,battles,その世界で起きた戦闘の一覧。捕虜の抽選結果もここにキャッシュされる。,なし,導出,—,状況で変わる,world.js:55 / battle.js:210 / battle.js:554
国の状態,戦争,,deathStats,死因の内訳。戦死は war:stat（ステ由来）と war:luck（流れ矢）に分けて数える。,なし,導出,—,状況で変わる,world.js:66 / world.js:859-860
国の状態,記録,,collapsing,false なら足りている。,産出が消費の0.85倍を割り、かつ蔵が3未満のときに立つ。これが唯一の滅び方。人口0でも立つ。,導出,—,状況で変わる,model.js:105 / world.js:531 / world.js:168
国の状態,記録,,powerIndex,国力。人口×0.55＋平均国民力×人口×1.4＋産出×2.2＋技術×3＋民心×8＋外来血の項。相手より大きければ勝ちやすい。,上限がないので単独では意味を持たない。混ぜた時点で構成が復元できなくなる（意図的に情報を捨てるスカラー）。,導出,—,状況で変わる,world.js:1157-1161
国の状態,記録,,stats,世代ごとの集計（人口・食料・民心・産出・消費・平均国民力・ホモ接合率・平均怨恨・外来血率・混血度・純血率・33座位の平均）。,1200件を超えると古いものから捨てる。,導出,—,状況で変わる,world.js:57 / world.js:1127-1156
国の状態,記録,,stats.admixture,1−いちばん多い血の割合の平均。0.5で完全な混色。融和政策の成果はここに出る。,0だと「単色」か「まだら」。外来血の量（foreign）とは別物なので必ず2つ並べて見る。,導出,—,状況で変わる,world.js:1140-1143 / world.js:1151
国の状態,記録,,stats.foreign,外来血の量（1−自国血の割合の平均）。,量が多くても混ざっていなければ「まだら」のまま。国力（powerIndex）にも少し入る。,導出,—,状況で変わる,world.js:1138 / world.js:1150 / world.js:1160
国の状態,記録,,stats.homoz,低いほど良い。ホモ接合率の平均。,高いと隠れた欠陥（荷重）が表に出て、生存力（vitality）が落ちる。,導出,—,状況で変わる,world.js:1136 / world.js:1148 / genetics.js:168-178
国の状態,記録,,stats.pure,純血個体（最大成分95%超）の割合。,高いほど血が閉じている。,導出,—,状況で変わる,world.js:1144 / world.js:1152
