職業,規模,中核ステ,効くステ,邪魔なステ,入口の閾値,伸びるステ,備考
芸人,都市,平衡感覚／敏捷／場を読む／見て盗む力,柔軟性／瞬発力／体で覚える力／声／容姿／機転／社交／気分の振れ幅／図太さ／人読み／道と方角の覚え／腹の丈夫さ,誇り／序列意識／体重／郷土愛／保身,平衡感覚／敏捷,平衡感覚／柔軟性／体で覚える力／見て盗む力／場を読む／図太さ／社交／機転,道化は誇りを捨てられる者しか務まらない。誇りが高い者を就けても伸びない。剣闘士とは逆（あちらは誇りと名誉欲が要る）。同じ見世物でも参照するこころが反転している。
音楽家,都市,聴力／手先の器用さ／体で覚える力／集中,声／息の長さ／短期の記憶／長期の記憶／気分の振れ幅／場を読む／序列意識／従順／柔軟性／歯の丈夫さ／信心／社交,必要睡眠／誇り／他責／握力,聴力／手先の器用さ,手先の器用さ／体で覚える力／集中／長期の記憶／場を読む／社交,ステが足りない：音の高さの聞き分け（音感）。聴力は「どれだけ小さい音が聞こえるか」の定義であって「高さを取れるか」ではない。今は聴力で代用しているが、それだと夜番や諜報と区別が付かない。聴力自体は伸びしろほぼゼロで完全に才能。歯が落ちると音が抜けるので、笛と歌は歯の丈夫さで職業寿命が決まる。
俳優,都市,声／短期の記憶／嘘のうまさ／体で覚える力,容姿／弁舌／場を読む／気分の振れ幅／長期の記憶／息の長さ／人読み／図太さ／身長／見て盗む力／信心／社交,誇り／正直さ／序列意識／保身,声／短期の記憶,嘘のうまさ／短期の記憶／体で覚える力／弁舌／場を読む／図太さ／見て盗む力,中核が「嘘のうまさ」なのはこの職だけ。吟遊詩人は自分として語り、俳優は他人になる。同じ声を使うが参照するあたまが違う。文字が読めない者に教義と歴史を渡す唯一の経路なので、信心が効くのに誇りは邪魔という捻れがある。
演出家,都市,段取り／人読み／創意／場を読む,空間把握／弁舌／顔と名前の覚え／観察／論理／数の感覚／野心／信心／序列意識／気分の振れ幅／機転／社交,従順／情／保身／口の軽さ,段取り／人読み,段取り／人読み／場を読む／弁舌／顔と名前の覚え／観察／野心,創意はレアSS・伸びしろ小さい・努力値閾値が非常に高い。就けても創意は積まれないので、新しい劇が生まれるかは才能の当たり待ちになる。著述家と全く同じ構造。情が高いと使えない役者を降ろせず一座が保たない。
賭博,都市,数の感覚／人読み／嘘のうまさ／嘘を見抜く,手先の器用さ／観察／短期の記憶／場を読む／機転／図太さ／貪欲／度胸／酒への強さ／社交／顔と名前の覚え／慎重,正直さ／情／気分の振れ幅／信心／恩義,数の感覚／人読み,人読み／嘘のうまさ／嘘を見抜く／数の感覚／場を読む／図太さ／貪欲／顔と名前の覚え,しがらみを作る装置。負けた者に貸しの線が張られ、その線が後で役職と謀反に効く。貪欲が高い者ほど向くが、同じ貪欲で自分が沈む——一つのステが同じ職で正負両方に効く数少ない例。
剣闘士,都市,反射／瞬発力／度胸／体で覚える力,最大筋力／打たれ強さ／敏捷／リーチ／傷の治り／痛覚の鈍さ／容姿／場を読む／名誉欲／利き手・両利き／疲労の抜けやすさ／視力,情／慎重／保身／老いの速さ／気分の振れ幅,反射／度胸,体で覚える力／度胸／打たれ強さ／最大筋力／図太さ／名誉欲／残酷さ／誇り,反射は老いで最も早く落ちるので三十で終わる職。戦場に出ずに名誉欲と武名を上げられる唯一の道なので、貴族の次男以下と平民の野心の受け皿になる。慎重が高いと決めに行かず客が離れるので、慎重が邪魔になる稀な職。左利きは相手の盾の外から打てるので見世物として値が付く——利き手が財に直結する唯一の職。
錬金術師,都市,好奇心／論理／観察／集中,創意／色の見分け／嗅覚／手先の器用さ／数の感覚／長期の記憶／毒への強さ／暑さへの強さ／忍耐／執念／言葉の覚え／慎重,信心／口の軽さ／従順／潔癖／貪欲,好奇心／論理,観察／論理／集中／長期の記憶／毒への強さ／執念／忍耐,好奇心は26歳を過ぎるとほとんど動かないので入口に置いた。水銀と鉛を扱うので毒への強さが低い者は数年で死ぬ——職そのものが寿命を削る例。度を越した発想は魔術・異端と見なされるので信心の高い都市では就くこと自体が危険になる。
占星術師,都市,数の感覚／長期の記憶／観察／論理,夜目／視力／集中／言葉の覚え／弁舌／段取り／人読み／信心／野心／寒さへの強さ／慎重,必要睡眠／気分の振れ幅／口の軽さ／正直さ／社交,数の感覚／夜目／長期の記憶,数の感覚／長期の記憶／観察／論理／段取り／弁舌／人読み,暦を作るので蒔き時と刈り時に直結する実務職。夜目（伸びしろほぼゼロ・努力値閾値が非常に高い）と必要睡眠でほぼ決まるので、昼の学者と入口が正反対になる。暦は正確に作り、王の生まれの読みは正直に告げない——実務と口寄せで要るこころが逆になる職。
著述家,都市,創意／論理／長期の記憶／弁舌,手先の器用さ／集中／言葉の覚え／観察／好奇心／名誉欲／執念／忍耐／想起の速さ／伝承意欲／気分の振れ幅／誇り,従順／場を読む／保身／信心,創意／論理,論理／弁舌／長期の記憶／言葉の覚え／集中／執念／伝承意欲,創意はレアSS・伸びしろ小さい・努力値閾値が非常に高いので、就けても創意は積まれない。新しい本が生まれるかは完全に才能の当たり待ち。写本は創意が邪魔で著述は創意が中核——101ステの中で最も鋭い対比。場を読む者は言うべきことを書かないので邪魔側に置いた。
巡礼案内,都市,道と方角の覚え／社交／弁舌／顔と名前の覚え,長期の記憶／持久力／腹の丈夫さ／言葉の覚え／信心／人読み／場を読む／機転／段取り／貪欲／慎重／病への強さ,郷土愛／正直さ／必要睡眠／潔癖／気分の振れ幅,道と方角の覚え／社交,道と方角の覚え／社交／弁舌／顔と名前の覚え／長期の記憶／言葉の覚え／段取り／腹の丈夫さ,吟遊詩人と同じく情報を扱うが向きが逆。吟遊詩人は情報を持って出て行き、巡礼案内は外から来た者から受け取る。都市に外の話が入る経路。偽の聖遺物を本物として案内するので正直さが邪魔になる。
風呂屋,都市,社交／人読み／段取り／暑さへの強さ,手先の器用さ／触覚／顔と名前の覚え／場を読む／握力／口の軽さ／潔癖／病への強さ／数の感覚／弁舌／持久力／観察,色欲／信心／気分の振れ幅／誇り／嫉妬,社交／暑さへの強さ,社交／人読み／顔と名前の覚え／段取り／場を読む／手先の器用さ／口の軽さ,しがらみと情報が最も濃く交わる場。裸で会うので身分が一時的に消え、身分をまたいだ線が張られる数少ない場所。剃刀と瀉血と按摩を兼ねるので手先と触覚が効く。色欲が高いと湯屋が娼館に転び身を持ち崩す。
死体処理,都市,最大筋力／図太さ／病への強さ／体幹,持久力／腹の丈夫さ／痛覚の鈍さ／飢えへの強さ／握力／肩幅／貪欲／忍耐／傷の治り／夜目／道と方角の覚え／残酷さ,潔癖／嗅覚／情／信心／気分の振れ幅,病への強さ／図太さ,図太さ／病への強さ／最大筋力／持久力／腹の丈夫さ／体幹／忍耐,町の汚物処理が疫病の発生を決めるのに対し、こちらは疫病の年の死者を捌く。潔癖が低い者しか就かないので、病への強さが高い就業者は自分は倒れずに病を撒く側になる。死刑執行人と同じく忌まれるが世襲ではない——ここが決定的に違う。
船乗り,都市,三半規管／平衡感覚／握力／体で覚える力,道と方角の覚え／夜目／視力／息の長さ／最大筋力／肩幅／腹の丈夫さ／度胸／機転／従順／寒さへの強さ／言葉の覚え,郷土愛／必要睡眠／潔癖／骨太さ／情,三半規管／平衡感覚,平衡感覚／握力／体で覚える力／道と方角の覚え／腹の丈夫さ／機転／度胸／三半規管,船大工（町）は空間把握と木、船乗りは三半規管と綱。同じ「船」で中核が一つも重ならない。三半規管は伸びしろが大きいので若いうちに乗せれば作れる。骨太さは水に落ちれば沈むので邪魔側。
獣使い,都市,体で覚える力／観察／忍耐／握力,平衡感覚／反射／触覚／聴力／嗅覚／度胸／情／長期の記憶／段取り／体幹／声／慎重,気分の振れ幅／残酷さ／他責／貪欲,体で覚える力／忍耐,体で覚える力／観察／忍耐／触覚／平衡感覚／段取り／慎重,ステが足りない：獣に対する感受性（人読みの獣版）。101ステの人読みは人にしか効かない定義なので、馬・鷹・犬を扱う職が既存のステでは書き切れない。今は観察と体で覚える力で代用しているが、それだと斥候と区別が付かない。馬は中世の最重要資産なのでここは埋めたほうがいい。
使用人,都市,従順／場を読む／段取り／顔と名前の覚え,容姿／短期の記憶／勤勉／潔癖／忍耐／人読み／序列意識／声／手先の器用さ／持久力／恩義,誇り／野心／口の軽さ／必要睡眠／他責,従順／場を読む,場を読む／段取り／顔と名前の覚え／人読み／忍耐／潔癖／恩義,主人の近くにいるので情報が最も早く入る職。容姿が高い者が近くに置かれ、そこから色欲としがらみが伸びる。野心と誇りが高い者を使用人に置くと恨みの線が主家の内側に張られる——粛清の起点になる。
歩兵,軍,度胸／持久力／打たれ強さ／従順,最大筋力／体幹／肩幅／骨太さ／リーチ／身長／瞬発力／腹の丈夫さ／暑さへの強さ／体で覚える力／忍耐／成熟の早さ,理解の速さ／誇り／他責／気分の振れ幅／利き手・両利き,度胸／打たれ強さ,持久力／打たれ強さ／体で覚える力／度胸／忍耐／残酷さ／図太さ,数が要るので入口が最も低い職。理解の速さが高いと命令の穴に気づいて従わず 誇りが高いと格下の隊長の下で働かない。左に寄る者は剣を並べる訓練で隊列を乱すので外される。成熟の早さが高い者は初陣で死ににくいが早老を連れて来る。
射手,軍,握力／視力／リーチ／集中,息の長さ／肩幅／最大筋力／手先の器用さ／体で覚える力／色の見分け／観察／慎重／忍耐／反射,度胸／気分の振れ幅／痛覚の鈍さ／手の大きさ,視力／リーチ,握力／体で覚える力／集中／手先の器用さ／慎重／観察,視力とリーチは器官なので伸びない。歩兵と逆で度胸が邪魔になる（退き際を誤ると騎兵に踏まれる）。矢と矢羽根を自分で作るので手先の器用さと集中が伸びる。手が大きすぎると細い矢筈と弦を扱えない。
騎兵,軍,平衡感覚／体幹／度胸／反射,三半規管／骨太さ／最大筋力／リーチ／握力／体で覚える力／打たれ強さ／傷の治り／道と方角の覚え／名誉欲／誇り,体重／慎重／気分の振れ幅／保身,反射／平衡感覚,平衡感覚／体幹／体で覚える力／度胸／名誉欲／残酷さ／道と方角の覚え,ステが足りない：獣を御する力（馬・鷹・犬）。馬は中世の最重要資産なのに101ステに馬を扱う才が1つも無く 平衡感覚と三半規管で近似しているだけ。体重が重い者は馬が保たず替え馬の費用で家が傾く。
斥候,軍,観察／道と方角の覚え／夜目／慎重,視力／聴力／嗅覚／色の見分け／走力／敏捷／持久力／腹の丈夫さ／空間把握／機転／見て盗む力／寒さへの強さ,声／必要睡眠／体重／口の軽さ／社交,夜目／視力,観察／道と方角の覚え／機転／慎重／持久力／腹の丈夫さ／見て盗む力／図太さ,夜目は伸びしろほぼゼロの器官で 持たない者を出しても死ぬだけ。声が通る者は潜められないので夜の斥候に使えない。敵の陣の組み方を見て持ち帰るので見て盗む力が伸びる。
工兵,軍,空間把握／段取り／最大筋力／体幹,握力／柔軟性／息の長さ／手先の器用さ／持久力／論理／数の感覚／暑さへの強さ／忍耐／体で覚える力／創意／慎重,身長／肩幅／潔癖／気分の振れ幅,空間把握／論理,空間把握／段取り／握力／体幹／持久力／論理／体で覚える力,攻城の本体は坑道を掘る仕事なので 大柄で肩の広い者は入れない。歩兵と体型の最適が正反対になる。煙と埃の中で咳き込まないので息の長さが効く。
騎士,軍,誇り／度胸／体で覚える力／平衡感覚,最大筋力／骨太さ／リーチ／反射／傷の治り／容姿／声／弁舌／名誉欲／序列意識／恩義／利き手・両利き,保身／貪欲／慎重／他責／老いの速さ,反射／体で覚える力,誇り／名誉欲／度胸／体で覚える力／野心／残酷さ／平衡感覚,入口の本体は身分と7歳からの他家での養育で ステでは塞げない。平民でも武功で入れる穴があるのはこの梯子だけ。左からの一撃は相手の盾の外から来るので利き手が効く。
隊長,軍,声／段取り／度胸／弁舌,場を読む／顔と名前の覚え／機転／人読み／短期の記憶／観察／息の長さ／忍耐／慎重／数の感覚／誇り／図太さ,情／気分の振れ幅／保身／必要睡眠,声／短期の記憶,段取り／弁舌／場を読む／度胸／顔と名前の覚え／機転／野心／図太さ,声は喉の作りで訓練では変わらない。号令の届かない者は何年やっても隊長にならない。情が高いと殿を出せず 保身が高いと部下を切って自分が残る。
伝令,軍,走力／短期の記憶／道と方角の覚え／持久力,声／息の長さ／疲労の抜けやすさ／腹の丈夫さ／夜目／三半規管／平衡感覚／機転／想起の速さ／痛覚の鈍さ／度胸／慎重,必要睡眠／体重／口の軽さ／社交／信じやすさ,短期の記憶／走力,持久力／道と方角の覚え／腹の丈夫さ／機転／観察／図太さ,走力と短期の記憶は伸びしろが小さいので 持っている者を使い潰す職になる。口の軽さが最大の失格条件で 社交が高いと村ごとに足が止まる。痛覚の鈍さは捕まったときに口を割らないために効く。
兵站,軍,段取り／数の感覚／長期の記憶／慎重,論理／腹の丈夫さ／道と方角の覚え／三半規管／持久力／観察／短期の記憶／忍耐／勤勉／正直さ／顔と名前の覚え／体幹,貪欲／情／口の軽さ／気分の振れ幅,数の感覚／長期の記憶,段取り／数の感覚／論理／腹の丈夫さ／道と方角の覚え／観察／貪欲,貪欲は邪魔なのに 飢えを間近で見る役なので貪欲が育つ。年を経た兵站ほど横領する。糧秣の残りが漏れれば籠城が終わるので口の軽さが致命傷になる。
傭兵,軍,度胸／体で覚える力／貪欲／機転,打たれ強さ／傷の治り／腹の丈夫さ／持久力／最大筋力／残酷さ／図太さ／道と方角の覚え／人読み／嘘のうまさ／見て盗む力／酒への強さ,郷土愛／恩義／情／信心,度胸／体で覚える力,体で覚える力／機転／残酷さ／図太さ／貪欲／道と方角の覚え／見て盗む力／酒への強さ,郷土愛と恩義が高い者は傭兵にならない（土地を離れられず主も替えられない）。よその戦い方を見て持ち帰るので 技が国境を越える数少ない経路になる。
宰相,国家運営,段取り／弁舌／場を読む／人読み,論理／数の感覚／理解の速さ／顔と名前の覚え／長期の記憶／想起の速さ／嘘のうまさ／嘘を見抜く／忍耐／誇り／野心／図太さ,正直さ／情／口の軽さ／気分の振れ幅,理解の速さ／弁舌,段取り／弁舌／場を読む／人読み／嘘のうまさ／顔と名前の覚え／野心／図太さ,治める対象ができて初めて現れる。就いた時点で立場の野心加算が最大に乗り ラチェットなので降ろせば恨みだけが残る（A-16）。正直さが高いと交渉で手の内を全部見せる。
家令,国家運営,段取り／顔と名前の覚え／数の感覚／勤勉,長期の記憶／短期の記憶／場を読む／観察／人読み／潔癖／正直さ／忍耐／序列意識／味覚／毒への強さ／体幹,野心／貪欲／口の軽さ／誇り,数の感覚／顔と名前の覚え,段取り／顔と名前の覚え／場を読む／観察／人読み／数の感覚,城が建って初めて現れる。主人の食卓と毒見を差配するので味覚と毒への強さが要る。家の内側を全部知る役なので 口の軽さと野心が最も危ない。頭を下げる役なので誇りが邪魔になる。
財務長官,国家運営,数の感覚／論理／長期の記憶／正直さ,段取り／集中／観察／嘘を見抜く／慎重／忍耐／誇り／潔癖／手先の器用さ／視力／短期の記憶／勤勉,貪欲／情／信じやすさ／気分の振れ幅,数の感覚／論理／長期の記憶,数の感覚／論理／観察／嘘を見抜く／段取り／集中／貪欲,数の感覚はレアSで入口が極端に狭いが 入れた者は帳場に置けば一生伸び続ける稀な型。誇りと正直さが揃った者だけが買収も脅迫も効かない。情が高いと切り捨てる配分を出せない。邪魔な貪欲が この職に就くほど育つ（欠乏を数字で毎日見るため）。
軍務長官,国家運営,人読み／段取り／数の感覚／場を読む,顔と名前の覚え／長期の記憶／論理／慎重／度胸／観察／弁舌／序列意識／嘘を見抜く／道と方角の覚え／空間把握／図太さ,情／保身／名誉欲／気分の振れ幅,数の感覚／理解の速さ,人読み／段取り／場を読む／顔と名前の覚え／野心／残酷さ／図太さ,誰を戦に出すかを決める役。オーナーが当たり（賢くて野心の無い者）を守りたくても 出撃を決めるのはこの職なので止められない（A-16）。名誉欲が高いと自分が出たがる。
裁判官,国家運営,論理／想起の速さ／嘘を見抜く／長期の記憶,弁舌／観察／人読み／場を読む／正直さ／誇り／慎重／短期の記憶／聴力／忍耐／信心／図太さ,情／信じやすさ／貪欲／気分の振れ幅／他責,長期の記憶／想起の速さ／論理,論理／嘘を見抜く／人読み／弁舌／観察／場を読む／図太さ,成文の法があって初めて現れる。裁きは証拠と誓いで動くので 嘘を見抜けても証拠が無ければ何もできない。情が高いと縁者に甘くなり 信じやすいと誓いをそのまま採る。
監察,国家運営,観察／嘘を見抜く／嘘のうまさ／夜目,聴力／視力／人読み／場を読む／敏捷／道と方角の覚え／顔と名前の覚え／痛覚の鈍さ／慎重／執念／嫉妬／毒への強さ,口の軽さ／信じやすさ／正直さ／社交／必要睡眠,夜目／聴力,観察／嘘を見抜く／嘘のうまさ／人読み／場を読む／道と方角の覚え／図太さ,正直さが邪魔になる数少ない国家の役。オーナーが正しい事実を得る経路（正直な報告）と諜報が 同じ人間の中で両立しない。嫉妬が高い者は不当な優遇を正確に見つけるので使える。
記録官,国家運営,手先の器用さ／長期の記憶／集中／正直さ,視力／論理／観察／忍耐／伝承意欲／数の感覚／想起の速さ／勤勉／触覚／言葉の覚え／執念／短期の記憶,保身／嘘のうまさ／野心／気分の振れ幅,長期の記憶／手先の器用さ／視力,手先の器用さ／長期の記憶／集中／観察／論理／伝承意欲,ステが足りない：文字の覚え（読み書きそのもの）。言葉の覚えは話し言葉のステで 字が読めるかを書けない。この職の正直さが 後世のオーナーが真の原因に辿り着けるかを決める。保身が高いと年代記に偽の帰属が刻まれる。
外交使者,国家運営,弁舌／場を読む／人読み／言葉の覚え,容姿／声／酒への強さ／嘘のうまさ／嘘を見抜く／短期の記憶／想起の速さ／機転／忍耐／腹の丈夫さ／道と方角の覚え／好奇心,正直さ／誇り／信じやすさ／郷土愛／気分の振れ幅,言葉の覚え／弁舌／容姿,弁舌／場を読む／人読み／嘘のうまさ／嘘を見抜く／社交／腹の丈夫さ／酒への強さ,言葉の覚えは年齢減衰が強く 大人になってから覚えた言葉はほとんど積まれない。子のうちに外へ出した者しか使者にならない。酒席で相手が口を割るのを聞くので酒への強さが伸びる。誇りが高いと頭を下げられず交渉を壊す。
駅逓,国家運営,段取り／道と方角の覚え／数の感覚／顔と名前の覚え,三半規管／平衡感覚／持久力／腹の丈夫さ／短期の記憶／観察／空間把握／正直さ／慎重／勤勉／体幹／握力,口の軽さ／貪欲／好奇心／気分の振れ幅,数の感覚／顔と名前の覚え,段取り／道と方角の覚え／顔と名前の覚え／観察／数の感覚／三半規管／社交,伝令が走る個人なら 駅逓は線を敷いて保つ職で 使うステが指揮と兵站に寄る。好奇心が高いと預かった封を開け寄り道する。ここでも獣を御する力が無いので早馬をステで書けない。
司教,宗教,弁舌／場を読む／信心／野心,声／容姿／長期の記憶／想起の速さ／人読み／段取り／数の感覚／序列意識／誇り／顔と名前の覚え／論理／寿命,色欲／正直さ／他責／気分の振れ幅,弁舌／長期の記憶／声,弁舌／場を読む／人読み／野心／段取り／顔と名前の覚え／社交／信心,聖職は平民が最上位まで届く唯一の梯子。ここに入口の高いステを積みすぎると その唯一の出口が塞がる。教会領の経営があるので数の感覚が要る。長寿がそのまま権力になる数少ない役。
修道士,宗教,集中／忍耐／信心／勤勉,手先の器用さ／長期の記憶／論理／視力／触覚／潔癖／従順／伝承意欲／飢えへの強さ／寒さへの強さ／言葉の覚え／体で覚える力,色欲／野心／社交／必要睡眠／気分の振れ幅,長期の記憶／集中,集中／手先の器用さ／長期の記憶／論理／忍耐／信心／伝承意欲／言葉の覚え,修道院学校は身分を問わない唯一の入口。色欲が高いと続かないのが最大の脱落条件で 必要睡眠が高い者は夜の勤めで脱落する。写本・薬・醸造を担うので手先の器用さと集中が伸びる。
異端審問,宗教,嘘を見抜く／論理／信心／残酷さ,観察／人読み／長期の記憶／想起の速さ／弁舌／執念／図太さ／場を読む／聴力／慎重／序列意識／短期の記憶,情／信じやすさ／気分の振れ幅／口の軽さ／色欲,論理／長期の記憶,嘘を見抜く／論理／観察／人読み／残酷さ／図太さ／場を読む,正統と異端の区別がある＝教義が固まってから現れる。殺した数だけ残酷さが育ち 殺された側の家系に体制怨恨が刻まれて3世代後に返る。冤罪が最も純度の高い恨みを生む。
農奴,外れ者,なし,忍耐／従順／持久力／飢えへの強さ／腹の丈夫さ／病への強さ／歯の丈夫さ／郷土愛／信心／体幹／勤勉／最大筋力,野心／誇り／理解の速さ／他責／執念,なし,忍耐／持久力／飢えへの強さ／腹の丈夫さ／郷土愛／他責／図太さ,就くのに要るステが1つも無い。だから職ではなく居場所。野心と序列意識が同時に高い農奴が体制怨恨の主要な入口になる。理解の速さが高い者ほど命令の筋の通らなさに気づいて壊れる。邪魔な他責が この居場所にいるほど育つので 外れ者を溜めるほど体制怨恨が濃くなる。
乞食,外れ者,なし,容姿／声／弁舌／人読み／場を読む／病への強さ／腹の丈夫さ／飢えへの強さ／寒さへの強さ／機転／嘘のうまさ／図太さ,誇り／潔癖／名誉欲／郷土愛,なし,人読み／場を読む／嘘のうまさ／図太さ／腹の丈夫さ／機転／他責,誇りが高い者はここに落ちる前に死ぬ。落ちてこられること自体が資質になる唯一の居場所。顔を知られた土地では乞えないので郷土愛が邪魔になる。
盗賊,外れ者,敏捷／観察／度胸／貪欲,夜目／聴力／手先の器用さ／道と方角の覚え／機転／嘘のうまさ／走力／柔軟性／握力／人読み／残酷さ／図太さ,正直さ／郷土愛／信心／口の軽さ／潔癖,夜目／敏捷,敏捷／観察／機転／嘘のうまさ／手先の器用さ／道と方角の覚え／残酷さ／図太さ,捕まれば手を落とされ二度と手仕事に戻れない。落ちる先が一方通行になる数少ない居場所。錠と閂を扱うので手先の器用さが伸びる。
娼婦,外れ者,容姿／場を読む／人読み／図太さ,声／社交／弁舌／嘘のうまさ／酒への強さ／病への強さ／機転／顔と名前の覚え／色欲／忍耐／観察,繁殖力／情／潔癖／誇り／嫉妬,容姿,場を読む／人読み／図太さ／嘘のうまさ／社交／機転／酒への強さ,女のみ。容姿は伸びしろが小さく老いで確実に落ちるので 老いた時点で立場を失う構造が最も露骨に出る居場所。繁殖力が高いと働けず 父の分からない子が血統と相続を濁す。客の近くに立つので秘密を最も早く知る。
死刑執行人,外れ者,残酷さ／図太さ／最大筋力／体で覚える力,手先の器用さ／握力／手の大きさ／観察／体幹／肩幅／忍耐／従順／伝承意欲／打たれ強さ／病への強さ／集中,情／潔癖／嗅覚／気分の振れ幅／社交,残酷さ,残酷さ／図太さ／体で覚える力／手先の器用さ／忍耐／伝承意欲,世襲の外れ者で粛清を実行するので恨みの結節点になる。情が高いと壊れるが 世襲なので閾値を満たさない子が継ぎ 家系は抜けられない（伝承意欲の悪い面がそのまま出る）。一撃で落とせないと苦痛が長引くので手先の器用さが要る。
